Broad Industrial Group,Travelling Time,CensusYear,Statistic Label,UNIT,VALUE
"Agriculture, forestry and fishing (A)",Total time travelling,2016,Persons at work 2011,Number,55043
"Agriculture, forestry and fishing (A)",Total time travelling,2016,Persons at work 2016,Number,50456
"Agriculture, forestry and fishing (A)",Total time travelling,2016,Percentage change of persons at work 2011-2016,%,-8.3
"Agriculture, forestry and fishing (A)",< ¼ hour,2016,Persons at work 2011,Number,20397
"Agriculture, forestry and fishing (A)",< ¼ hour,2016,Persons at work 2016,Number,19577
"Agriculture, forestry and fishing (A)",< ¼ hour,2016,Percentage change of persons at work 2011-2016,%,-4
"Agriculture, forestry and fishing (A)",¼ hour - < ½ hour,2016,Persons at work 2011,Number,9591
"Agriculture, forestry and fishing (A)",¼ hour - < ½ hour,2016,Persons at work 2016,Number,9910
"Agriculture, forestry and fishing (A)",¼ hour - < ½ hour,2016,Percentage change of persons at work 2011-2016,%,3.3
"Agriculture, forestry and fishing (A)",½ hour - < ¾ hour,2016,Persons at work 2011,Number,5412
"Agriculture, forestry and fishing (A)",½ hour - < ¾ hour,2016,Persons at work 2016,Number,5557
"Agriculture, forestry and fishing (A)",½ hour - < ¾ hour,2016,Percentage change of persons at work 2011-2016,%,2.7
"Agriculture, forestry and fishing (A)",¾ hour - < 1 hour,2016,Persons at work 2011,Number,1209
"Agriculture, forestry and fishing (A)",¾ hour - < 1 hour,2016,Persons at work 2016,Number,1307
"Agriculture, forestry and fishing (A)",¾ hour - < 1 hour,2016,Percentage change of persons at work 2011-2016,%,8.1
"Agriculture, forestry and fishing (A)",1 hour - < 1½ hours,2016,Persons at work 2011,Number,1579
"Agriculture, forestry and fishing (A)",1 hour - < 1½ hours,2016,Persons at work 2016,Number,1878
"Agriculture, forestry and fishing (A)",1 hour - < 1½ hours,2016,Percentage change of persons at work 2011-2016,%,18.9
"Agriculture, forestry and fishing (A)",1½ hours and over,2016,Persons at work 2011,Number,694
"Agriculture, forestry and fishing (A)",1½ hours and over,2016,Persons at work 2016,Number,769
"Agriculture, forestry and fishing (A)",1½ hours and over,2016,Percentage change of persons at work 2011-2016,%,10.8
"Agriculture, forestry and fishing (A)",Not stated,2016,Persons at work 2011,Number,16161
"Agriculture, forestry and fishing (A)",Not stated,2016,Persons at work 2016,Number,11458
"Agriculture, forestry and fishing (A)",Not stated,2016,Percentage change of persons at work 2011-2016,%,-29.1
Mining and quarrying (B),Total time travelling,2016,Persons at work 2011,Number,5187
Mining and quarrying (B),Total time travelling,2016,Persons at work 2016,Number,4882
Mining and quarrying (B),Total time travelling,2016,Percentage change of persons at work 2011-2016,%,-5.9
Mining and quarrying (B),< ¼ hour,2016,Persons at work 2011,Number,1437
Mining and quarrying (B),< ¼ hour,2016,Persons at work 2016,Number,1245
Mining and quarrying (B),< ¼ hour,2016,Percentage change of persons at work 2011-2016,%,-13.4
Mining and quarrying (B),¼ hour - < ½ hour,2016,Persons at work 2011,Number,1878
Mining and quarrying (B),¼ hour - < ½ hour,2016,Persons at work 2016,Number,1719
Mining and quarrying (B),¼ hour - < ½ hour,2016,Percentage change of persons at work 2011-2016,%,-8.5
Mining and quarrying (B),½ hour - < ¾ hour,2016,Persons at work 2011,Number,997
Mining and quarrying (B),½ hour - < ¾ hour,2016,Persons at work 2016,Number,969
Mining and quarrying (B),½ hour - < ¾ hour,2016,Percentage change of persons at work 2011-2016,%,-2.8
Mining and quarrying (B),¾ hour - < 1 hour,2016,Persons at work 2011,Number,305
Mining and quarrying (B),¾ hour - < 1 hour,2016,Persons at work 2016,Number,289
Mining and quarrying (B),¾ hour - < 1 hour,2016,Percentage change of persons at work 2011-2016,%,-5.3
Mining and quarrying (B),1 hour - < 1½ hours,2016,Persons at work 2011,Number,236
Mining and quarrying (B),1 hour - < 1½ hours,2016,Persons at work 2016,Number,283
Mining and quarrying (B),1 hour - < 1½ hours,2016,Percentage change of persons at work 2011-2016,%,19.9
Mining and quarrying (B),1½ hours and over,2016,Persons at work 2011,Number,112
Mining and quarrying (B),1½ hours and over,2016,Persons at work 2016,Number,137
Mining and quarrying (B),1½ hours and over,2016,Percentage change of persons at work 2011-2016,%,22.3
Mining and quarrying (B),Not stated,2016,Persons at work 2011,Number,222
Mining and quarrying (B),Not stated,2016,Persons at work 2016,Number,240
Mining and quarrying (B),Not stated,2016,Percentage change of persons at work 2011-2016,%,8.1
Manufacturing (C),Total time travelling,2016,Persons at work 2011,Number,177632
