GEO,Zero_minutes,From_1_to_9_minutes,From_1_to_14_minutes,1_minute_or_over,From_10_to_14_minutes,From_15_to_19_minutes,From_15_to_29_minutes,From_20_to_29_minutes,From_30_to_44_minutes,From_30_to_59_minutes,30_minutes_or_over,From_45_to_59_minutes,60_minutes_or_over,No_response
Belgium,383.5,481.1,1066,4422.1,584.9,600.7,1499.7,898.9,962.7,1342.9,1856.4,380.2,513.5,12.2
Bulgaria,83.6,105,562,3117.9,457.1,513.5,1254.1,740.5,951.5,1151.8,1301.8,200.2,150,27.6
Czechia,206.1,440.9,1180.9,5035.2,740.1,764.7,1792.6,1027.9,1254.1,1619.1,2061.6,365,442.5,47.4
Denmark,150.1,364,724,2640.2,360,372.8,901.3,528.5,569.7,786.5,1015,216.8,228.5,79.1
Germany,1648.1,5412.4,10887,37304.7,5474.6,5212.2,12605.4,7393.2,7941.2,10497.6,13812.2,2556.4,3314.7,2689.5
Estonia,27.3,79.7,187.8,620.7,108.1,107.4,235.7,128.3,128.1,160,197.2,31.9,37.2,16.1
Ireland,158.7,246.8,489.7,1837.8,242.9,220.5,591.3,370.8,402.1,532.4,756.8,130.4,224.4,292
Greece,29.6,554,1462.4,3628.1,908.5,665.3,1310.2,644.9,580.7,737.9,855.5,157.1,117.6,292.7
Spain,484.2,2885.9,6073.7,18244,3187.8,2670.3,5927.4,3257.1,3551.6,4416.1,6242.9,864.5,1826.8,1038
France,1675.1,3449.1,6823.2,24806.5,3374.1,3529.9,8661.4,5131.5,5107.4,7096,9321.8,1988.6,2225.8,658.3
Croatia,111,205,433.6,1516.4,228.6,265.7,537.5,271.8,336,433.2,545.4,97.2,112.2,46.4
Italy,395.9,4723.1,9205.1,22250.7,4482,3242.6,6713.3,3470.6,3700.4,4527.3,6332.4,826.9,1805.1,629.8
Cyprus,23.4,58.7,137.1,392.5,78.5,79.7,177,97.3,54,67.4,78.4,13.4,11,0
Latvia,24.7,59.8,146,885.3,86.3,92.6,262.8,170.2,271.6,353.5,476.5,81.9,123,0
Lithuania,48.4,118.5,302.5,1326.6,184,228.9,592.3,363.4,342.4,374.8,431.8,32.4,57,0
Luxembourg,11.3,16.2,36.1,198.1,19.9,22.9,67.4,44.5,55.1,76.1,94.6,21,18.5,79.3
Hungary,237.5,316.9,950.3,4133.2,633.3,486.6,1265.9,779.3,1159.7,1455.9,1917.1,296.2,461.2,140.1
Malta,10.5,24.1,57.6,240.2,33.5,39.2,84.9,45.7,56.8,78.1,97.8,21.3,19.7,0
Netherlands,620.8,1199.8,2321.4,8124.1,1121.7,1125.2,2696.4,1571.2,1545.4,2242.5,3106.3,697.2,863.8,207.7
Austria,184.2,800.5,1385.5,4156.3,585.1,549.6,1291.1,741.6,838.9,1160.3,1479.7,321.4,319.3,0
Poland,855.9,1627.2,3763.9,14877.8,2136.8,2519.6,5624.4,3104.8,3846,4459.8,5489.5,613.8,1029.7,722.8
Portugal,177.3,963.8,1822.8,4352.5,859,684.8,1361.4,676.6,688.5,869.8,1168.3,181.4,298.4,325.2
Romania,219.9,671.5,1420.2,7256.9,748.7,997.8,2703.3,1705.5,2108.8,2704.2,3133.4,595.4,429.2,1337
Slovenia,116.1,126,268.9,871.7,142.9,150.3,319,168.7,180.9,225.3,283.8,44.4,58.5,0
Slovakia,96.6,182.8,573.2,2425.6,390.4,442,1132.3,690.3,509.7,595.4,720.1,85.7,124.7,45.8
Finland,97.4,405.1,753.4,2386.1,348.3,366.5,849.7,483.2,488.6,654.4,783,165.8,128.6,66.1
Sweden,138,719.8,1401.8,4905.8,682,732.8,1668,935.2,1002.8,1379.4,1836,376.7,456.6,87.8
United Kingdom,2429.3,3621,7669.7,29353.6,4048.7,3475.8,9042.8,5566.9,6216.4,8510.6,12641.1,2294.2,4130.5,754.3
Iceland,5.4,73.9,106.7,178.4,32.8,27.6,48.1,20.5,15.3,18.6,23.6,0,5.1,19.5
Norway,154.2,481.1,895.7,2569.7,414.6,360.1,818.5,458.5,466.9,604.2,855.4,137.4,251.1,0
Switzerland,206.3,772,1373,4404.4,601,593.4,1359.7,766.3,893.8,1225.8,1671.7,332,445.9,62.8
Türkiye,1571.1,4199,8417.1,26567.8,4218.1,3346.1,8531.4,5185.3,6163,7500.2,9619.3,1337.2,2119,0
