GEO,Time_Bucket,VALUE
Belgium,Zero_minutes,383.5
Bulgaria,Zero_minutes,83.6
Czechia,Zero_minutes,206.1
Denmark,Zero_minutes,150.1
Germany,Zero_minutes,1648.1
Estonia,Zero_minutes,27.3
Ireland,Zero_minutes,158.7
Greece,Zero_minutes,29.6
Spain,Zero_minutes,484.2
France,Zero_minutes,1675.1
Croatia,Zero_minutes,111.0
Italy,Zero_minutes,395.9
Cyprus,Zero_minutes,23.4
Latvia,Zero_minutes,24.7
Lithuania,Zero_minutes,48.4
Luxembourg,Zero_minutes,11.3
Hungary,Zero_minutes,237.5
Malta,Zero_minutes,10.5
Netherlands,Zero_minutes,620.8
Austria,Zero_minutes,184.2
Poland,Zero_minutes,855.9
Portugal,Zero_minutes,177.3
Romania,Zero_minutes,219.9
Slovenia,Zero_minutes,116.1
Slovakia,Zero_minutes,96.6
Finland,Zero_minutes,97.4
Sweden,Zero_minutes,138.0
United Kingdom,Zero_minutes,2429.3
Iceland,Zero_minutes,5.4
Norway,Zero_minutes,154.2
Switzerland,Zero_minutes,206.3
Türkiye,Zero_minutes,1571.1
Belgium,From_1_to_14_minutes,1066.0
Bulgaria,From_1_to_14_minutes,562.0
Czechia,From_1_to_14_minutes,1180.9
Denmark,From_1_to_14_minutes,724.0
Germany,From_1_to_14_minutes,10887.0
Estonia,From_1_to_14_minutes,187.8
Ireland,From_1_to_14_minutes,489.7
Greece,From_1_to_14_minutes,1462.4
Spain,From_1_to_14_minutes,6073.7
France,From_1_to_14_minutes,6823.2
Croatia,From_1_to_14_minutes,433.6
Italy,From_1_to_14_minutes,9205.1
Cyprus,From_1_to_14_minutes,137.1
Latvia,From_1_to_14_minutes,146.0
Lithuania,From_1_to_14_minutes,302.5
Luxembourg,From_1_to_14_minutes,36.1
Hungary,From_1_to_14_minutes,950.3
Malta,From_1_to_14_minutes,57.6
Netherlands,From_1_to_14_minutes,2321.4
Austria,From_1_to_14_minutes,1385.5
Poland,From_1_to_14_minutes,3763.9
Portugal,From_1_to_14_minutes,1822.8
Romania,From_1_to_14_minutes,1420.2
Slovenia,From_1_to_14_minutes,268.9
Slovakia,From_1_to_14_minutes,573.2
Finland,From_1_to_14_minutes,753.4
Sweden,From_1_to_14_minutes,1401.8
United Kingdom,From_1_to_14_minutes,7669.7
Iceland,From_1_to_14_minutes,106.7
Norway,From_1_to_14_minutes,895.7
Switzerland,From_1_to_14_minutes,1373.0
Türkiye,From_1_to_14_minutes,8417.1
Belgium,From_15_to_29_minutes,1499.7
Bulgaria,From_15_to_29_minutes,1254.1
Czechia,From_15_to_29_minutes,1792.6
Denmark,From_15_to_29_minutes,901.3
Germany,From_15_to_29_minutes,12605.4
Estonia,From_15_to_29_minutes,235.7
Ireland,From_15_to_29_minutes,591.3
Greece,From_15_to_29_minutes,1310.2
Spain,From_15_to_29_minutes,5927.4
France,From_15_to_29_minutes,8661.4
Croatia,From_15_to_29_minutes,537.5
Italy,From_15_to_29_minutes,6713.3
Cyprus,From_15_to_29_minutes,177.0
Latvia,From_15_to_29_minutes,262.8
Lithuania,From_15_to_29_minutes,592.3
Luxembourg,From_15_to_29_minutes,67.4
Hungary,From_15_to_29_minutes,1265.9
Malta,From_15_to_29_minutes,84.9
Netherlands,From_15_to_29_minutes,2696.4
Austria,From_15_to_29_minutes,1291.1
Poland,From_15_to_29_minutes,5624.4
Portugal,From_15_to_29_minutes,1361.4
Romania,From_15_to_29_minutes,2703.3
Slovenia,From_15_to_29_minutes,319.0
Slovakia,From_15_to_29_minutes,1132.3
Finland,From_15_to_29_minutes,849.7
Sweden,From_15_to_29_minutes,1668.0
United Kingdom,From_15_to_29_minutes,9042.8
Iceland,From_15_to_29_minutes,48.1
Norway,From_15_to_29_minutes,818.5
Switzerland,From_15_to_29_minutes,1359.7
Türkiye,From_15_to_29_minutes,8531.4
Belgium,From_30_to_44_minutes,962.7
Bulgaria,From_30_to_44_minutes,951.5
Czechia,From_30_to_44_minutes,1254.1
Denmark,From_30_to_44_minutes,569.7
Germany,From_30_to_44_minutes,7941.2
Estonia,From_30_to_44_minutes,128.1
Ireland,From_30_to_44_minutes,402.1
Greece,From_30_to_44_minutes,580.7
Spain,From_30_to_44_minutes,3551.6
France,From_30_to_44_minutes,5107.4
Croatia,From_30_to_44_minutes,336.0
Italy,From_30_to_44_minutes,3700.4
Cyprus,From_30_to_44_minutes,54.0
Latvia,From_30_to_44_minutes,271.6
Lithuania,From_30_to_44_minutes,342.4
Luxembourg,From_30_to_44_minutes,55.1
Hungary,From_30_to_44_minutes,1159.7
Malta,From_30_to_44_minutes,56.8
