Country,Male,Female,Both_Sexes
China,56,38,47.0
Turkey,52,28,40.0
Korea,74,0,74.0
Mexico,49,24,36.5
South,44,29,36.5
Japan,50,21,35.5
Italy,43,25,34.0
India,44,18,31.0
Canada,36,25,30.5
Hungary,32,28,30.0
Norway,33,26,29.5
Estonia,30,29,29.5
Austria,34,25,29.5
Netherlands,34,22,28.0
Belgium,31,23,27.0
Germany,34,19,26.5
Portugal,32,20,26.0
Poland,30,22,26.0
Slovenia,28,22,25.0
Australia,31,18,24.5
New Zealand,29,18,23.5
Denmark,29,18,23.5
Ireland,26,20,23.0
France,26,19,22.5
United Kingdom,28,16,22.0
United States,25,17,21.0
Spain,26,16,21.0
Finland,21,20,20.5
Sweden,21,19,20.0
